page_id,short_name,full_name
55232,OTHER,
55233,OTHER,
55234,OTHER,
55235,OTHER,
55236,OTHER,
55237,OTHER,
55238,OTHER,
55239,OTHER,
55240,COVER,封面
55241,EMPTY,空白页
55242,PROTOCAL,知情同意书
55243,PROTOCAL,知情同意书
55244,PROTOCAL,知情同意书
55245,EMPTY,空白页
55246,PROFILE,个人信息页
55247,EMPTY,空白页
55248,SCDS,SCDS
55249,SCDS,SCDS
55250,MMSE,MMSE
55251,MMSE,MMSE
55252,MOCA,MOCA
55253,MOCA,MOCA
55254,MOCA,MOCA
55255,MOCA,MOCA
55256,CDT,CDT
55257,AVLT,AVLT
55258,TMT,TMT
55259,TMT,TMT
55260,TMT,TMT
55261,TMT,TMT
55262,TMT,TMT
55263,DST,DST
55264,VFT,VFT
55265,VFT,VFT
55266,VFT,VFT
55267,HAMD,HAMD
55268,HAMD,HAMD
55269,HAMD,HAMD
55270,HAMA,HAMA
55271,ADL,ADL
55272,PSQI,PSQI
55273,PSQI,PSQI
55274,NPI,NPI
55275,NPI,NPI
55276,AQD,AQD
55277,AQD,AQD
55278,HIS,HIS
55279,CFTA,CFTA
55280,CFTB,CFTB
55281,GDS,GDS
55282,CFT,CFT
55283,CDR,CDR
55284,CDR,CDR
55285,CDR,CDR
55286,CDR,CDR
55287,CDR,CDR
