page_id,short_name,full_name
74521,COVER,COVER
74522,MMSE,MMSE
74523,MMSE,MMSE
74524,BSCS,BSCS
74525,PSVU,PSVU
74526,SVAT,SVAT
74527,SVAT,SVAT
74528,HAMD,HAMD
74529,HAMD,HAMD
74530,HAMD,HAMD
74531,HAMA,HAMA
74532,PSQI,PSQI
74533,PSQI,PSQI
